Ulasan_Bersih,Labeling
sangat bagus,Positif
admin bulan berapa tibatiba banget setiap uang masuk potong apalagi sampe kepotong 40rb liat mutasi jelas kaga uang keluar ngawur parah sekarang,Negatif
membantu aplikasi susah buka,Negatif
banking paling busuk verivikasi berhasil2,Negatif
aplikasi jelek sekalimau verifikasi gagal terus sampe pulsa habisbaru pake mbanking ribet jelas,Negatif
sinya bagus indikator sinyal mobile merah terus jelas,Netral
ribet pake harus verifikasi,Negatif
sangat membantu banget,Positif
2025 update bintang bagus banget,Positif
notifikasi muncul ketika transaksi masuk padahal sangat penting saat harus tiap transaksi masukrating diubah setelah aplikasi update,Netral
deng mobile semua mudah,Positif
aplikasi lemooot sdah seminggu,Negatif
ganti sandi doang sementara transaksi dapat diproses silah ulangi beberapa saat,Netral
sangat suka simple mudah diguna,Positif
parah banget tarik uang langsung bank daerah kapuk cengkareng luar pecah rp50 sama sekali udah buang waktu tenaga malah harus bayar parkir juga masa bank segede siapin pecah cukup tolong diperbaiki jang nyusahin nasabah kayak gini,Negatif
good,Positif
keren,Positif
tiba2 verifikasi saat transasksi,Netral
mobile sama mybca gajelas verifikasi muka gagal terus gara gara android kamera burem mana urgent,Netral
pernah gatcha gebyar sejak 2024,Netral
aplikasi ribet jelasnyesel,Negatif
mantap,Positif
minta update mmulu hbsin kuota hapus atuh,Negatif
mudah gunan,Positif
good,Positif
kenapa sekarang lemot,Negatif
puas,Positif
very good,Positif
lemot sinyal merah terus,Netral
sering eror jelas udah ribet udah paling bener pake bank lain,Negatif
hebat simple ribet,Positif
senang memakain mobile cepat mudah transaksi,Positif
nyala hijau biru merah guna lain butuh kayak gitu,Netral
ngapa slalu minta update,Netral
aplikasi bagus sayang fitur qris sering terganggu sering saldo terpotong sudah lapor balikin banyak balik saldo hilang tolong qris perbaiki bila transaksi gagal saldo otomatis balik seperti bank lain,Netral
tinggal vermuk doang gagal mulu gegara kamera jelek ribet,Negatif
buruk banget jelas ngabisin pulsa lama banget bikin kesel,Negatif
apa2 makin kesini makin lemot aplikasi internet lancar banget buka aplikasi lemot ampun2,Negatif
lama2 kerja sama seringkusut sendiri dipake,Netral
ganggu,Netral
sekarang sering error udah update versi terbaru jaring juga bagus erroooor meraaaah terus,Negatif
bbrp hari lemot eror,Negatif
internet stabil masih muter mulu emang seberat aplikasi,Netral
indikator kebanya merah susah buat transakso najis,Negatif
makin lemot parah,Negatif
aplikasi mobile eror terus sangat merugi,Negatif
kenapa mobile dibuka padahal sudah update,Negatif
lemot banget,Negatif
sinyal bagus masih merah transaksi susah,Negatif
bangsatlah merah terus kacau semenjak diperbaharui,Negatif
daftar nasabah lewat online daftar alhamdulillah lancar aplikasi online banget,Positif
ngaktif mobile susah amatpulsa sampe habis kirim tulis gagal terus dibilang koneksi terputus padahal sudah pake paket data wifi sama parah,Negatif
gajelas setiap satu sinyal disuruh verifikasi ulang mulu mana pake pulsa ngerugiin banget,Negatif
sangat bagus bermanfaat masyarakat,Positif
masa transfer saldo mobile masuk bank lain kemarin masa harus nunggu hari kerja mendapat info lebih lanjut terkait transfer saldo masuk bank lain,Netral
verifikasi gagal terus,Negatif
sangat puas,Positif
aplikasi lemot muter mulu,Negatif
bikin ribet canggih ngapain dikit2 kantor norak petinggi kaga ngerti modern hidup dijam batu,Negatif
lebih fleksibel,Positif
parah buka verifikasi susah,Negatif
respon cepet,Positif
kapitalis,Netral
terbaik pelayan sangat memuas,Positif
bagus,Positif
